1,264050,Sangeang Api,22228,,2017,7,15,2017,7,30,-8.2,119.07
2,263200,Dieng Volcanic Complex,22227,,2017,7,2,2017,7,2,-7.2,109.92
3,261140,Marapi,22226,,2017,6,4,2017,6,4,-0.381,100.473
4,262000,Krakatau,22188,,2017,2,19,2017,2,19,-6.102,105.423
5,261170,Kerinci,22172,1,2016,11,15,2016,11,21,-1.697,101.264
6,268060,Gamalama,22150,1,2016,8,3,2016,8,4,0.8,127.33
7,264030,Rinjani,22149,2,2016,8,1,2016,9,27,-8.42,116.47
8,261170,Kerinci,22125,2,2016,3,31,2016,6,9,-1.697,101.264
9,266030,Soputan,22105,3,2016,1,2,2016,2,7,1.112,124.737
10,261140,Marapi,22111,1,2015,11,14,2015,11,14,-0.381,100.473
11,263310,Tengger Caldera,22103,2,2015,11,12,2016,11,12,-7.942,112.95
12,264030,Rinjani,22104,2,2015,10,25,2015,12,24,-8.42,116.47
13,266100,Lokon-Empung,21093,1,2015,8,30,2015,9,28,1.358,124.792
14,268060,Gamalama,21087,2,2015,7,16,2015,9,8,0.8,127.33
15,264270,Sirung,21086,1,2015,7,7,2015,7,8,-8.508,124.13
16,266100,Lokon-Empung,21071,1,2015,5,20,2015,5,27,1.358,124.792
17,263340,Raung,21070,3,2015,2,1,2015,8,22,-8.119,114.056
18,266030,Soputan,20988,3,2015,1,6,2015,3,7,1.112,124.737
19,268060,Gamalama,20989,2,2014,12,18,2014,12,25,0.8,127.33
20,267020,Karangetang,20914,2,2014,6,8,2016,3,15,2.781,125.407
21,264050,Sangeang Api,20911,3,2014,5,30,2015,11,5,-8.2,119.07
22,263300,Semeru,22221,,2014,4,1,2017,7,10,-8.108,112.922
23,262000,Krakatau,20932,1,2014,3,31,2014,3,31,-6.102,105.423
24,263250,Merapi,20892,3,2014,3,9,2014,4,20,-7.542,110.442
25,263180,Slamet,20933,2,2014,3,8,2014,9,17,-7.242,109.208
26,263280,Kelut,20934,4,2014,2,13,2014,2,15,-7.93,112.308
27,267020,Karangetang,20913,1,2014,2,9,2014,2,9,2.781,125.407
28,261140,Marapi,20931,1,2014,2,3,2014,2,26,-0.381,100.473
29,263250,Merapi,20842,2,2013,11,18,2013,11,18,-7.542,110.442
30,263090,Tangkubanparahu,20987,1,2013,10,5,2013,10,5,-6.77,107.6
31,261080,Sinabung,20818,2,2013,9,15,2017,8,4,3.17,98.392
32,264250,Iliwerung,20912,0,2013,8,20,2013,8,20,-8.53,123.57
33,263300,Semeru,22220,,2013,6,4,2013,11,29,-8.108,112.922
34,261170,Kerinci,22216,2,2013,6,2,2013,6,2,-1.697,101.264
35,263090,Tangkubanparahu,20822,2,2013,2,21,2013,3,6,-6.77,107.6
36,264150,Paluweh,20806,2,2012,10,8,2013,10,31,-8.32,121.708
37,261140,Marapi,20797,1,2012,9,26,2012,9,26,-0.381,100.473
38,268060,Gamalama,20766,1,2012,9,15,2012,9,17,0.8,127.33
39,266100,Lokon-Empung,20794,2,2012,9,15,2013,9,9,1.358,124.792
40,266030,Soputan,20821,3,2012,8,26,2012,9,19,1.112,124.737
41,267020,Karangetang,20776,2,2012,5,14,2013,9,5,2.781,125.407
42,264270,Sirung,20819,2,2012,5,8,2012,5,12,-8.508,124.13
43,261140,Marapi,20796,1,2012,3,1,2012,5,18,-0.381,100.473
44,264230,Lewotolo,20791,1,2012,1,2,2012,1,14,-8.272,123.505
45,261170,Kerinci,22217,1,2011,12,15,2011,12,15,-1.697,101.264
46,268060,Gamalama,20765,2,2011,12,5,2011,12,23,0.8,127.33
47,261140,Marapi,20795,2,2011,8,3,2011,10,12,-0.381,100.473
48,262000,Krakatau,20787,2,2011,7,31,2012,9,9,-6.102,105.423
49,266030,Soputan,20820,3,2011,7,3,2011,8,15,1.112,124.737
50,266100,Lokon-Empung,20793,2,2011,6,26,2012,5,1,1.358,124.792
51,263300,Semeru,22219,,2011,5,13,2012,7,20,-8.108,112.922
52,267020,Karangetang,20775,2,2011,3,11,2011,8,13,2.781,125.407
53,266100,Lokon-Empung,20792,1,2011,2,22,2011,2,22,1.358,124.792
54,263310,Tengger Caldera,16064,3,2010,11,26,2012,6,13,-7.942,112.95
55,263250,Merapi,15925,4,2010,10,26,2012,7,15,-7.542,110.442
56,262000,Krakatau,15634,2,2010,10,25,2011,3,9,-6.102,105.423
57,261080,Sinabung,15404,2,2010,8,27,2010,9,18,3.17,98.392
58,267020,Karangetang,16544,3,2010,8,6,2010,12,16,2.781,125.407
59,263300,Semeru,22218,,2010,1,5,2010,11,29,-8.108,112.922
60,263200,Dieng Volcanic Complex,15793,1,2009,9,27,2009,9,27,-7.2,109.92
61,264030,Rinjani,16227,2,2009,5,2,2010,5,23,-8.42,116.47
62,263180,Slamet,15765,1,2009,4,21,2009,6,22,-7.242,109.208
63,261170,Kerinci,15533,1,2009,4,1,2009,6,19,-1.697,101.264
64,262000,Krakatau,15633,2,2009,3,25,2009,9,16,-6.102,105.423
65,263200,Dieng Volcanic Complex,15792,1,2009,1,15,2009,1,15,-7.2,109.92
66,261230,Dempo,15575,1,2009,1,1,2009,1,1,-4.03,103.13
67,267020,Karangetang,16543,2,2008,11,29,2010,3,24,2.781,125.407
68,263340,Raung,16166,2,2008,6,12,2008,6,17,-8.119,114.056
69,266030,Soputan,16439,3,2008,6,6,2008,11,2,1.112,124.737
70,264160,Egon,16278,2,2008,4,15,2008,4,28,-8.676,122.455
71,268030,Ibu,16582,1,2008,4,5,2017,6,19,1.488,127.63
72,261170,Kerinci,15532,1,2008,3,24,,,,-1.697,101.264
